num_expediente,fecha,wikidata_fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,wikidata_tipo_vehiculo,tipo_persona,wikidata_tipo_persona,rango_edad,sexo,wikidata_sexo,cod_lesividad,lesividad,longitud,latitud,positiva_alcohol,positiva_droga
2023S040309,"February 15, 2024",https://wikidata.org/entity/Q69307077,14:05:00,CALL. TESORO / CALL. MINAS,18,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70585962201,40.425009251980356,false,false
2024S000027,"January 1, 2024",https://wikidata.org/entity/Q69307032,16:30:00,CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS,2,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.73363439871,40.387142474081976,false,false
2024S000058,"January 2, 2024",https://wikidata.org/entity/Q69307033,9:45:00,GTA. LOZARES / AVDA. REAL DE PINTO,0,17,Villaverde,https://wikidata.org/entity/Q919536,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 70 a 74 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.70763346887,40.339979587924894,false,false
2024S000081,"January 2, 2024",https://wikidata.org/entity/Q69307033,19:30:00,"CALL. HORTALEZA, 96",96,1,Centro,https://wikidata.org/entity/Q1763376,Atropello a persona,Nublado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.69805172153,40.42462422567297,false,false
2024S000081,"January 2, 2024",https://wikidata.org/entity/Q69307033,19:30:00,"CALL. HORTALEZA, 96",96,1,Centro,https://wikidata.org/entity/Q1763376,Atropello a persona,Nublado,Bicicleta EPAC (pedaleo asistido),,pedestrian,https://wikidata.org/entity/Q221488,De 65 a 69 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.69805172153,40.42462422567297,false,false
2024S000108,"January 3, 2024",https://wikidata.org/entity/Q69307034,8:30:00,"CALL. BRAVO MURILLO, 154",154,6,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,LLuvia intensa,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70329370063,40.45141227874345,false,false
2024S000168,"January 3, 2024",https://wikidata.org/entity/Q69307034,11:30:00,"PASEO. EXTREMADURA, 21",21,10,Latina,https://wikidata.org/entity/Q794954,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,female,https://wikidata.org/entity/Q6581072,7,Asistencia sanitaria sólo en el lugar del accidente,-3.72785218848,40.41364763243892,false,false
2024S000274,"January 4, 2024",https://wikidata.org/entity/Q69307035,20:30:00,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. ISLA PARAGUA,37,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Colisión fronto-lateral,LLuvia intensa,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.68698335265,40.49302366008534,false,false
2024S000275,"January 4, 2024",https://wikidata.org/entity/Q69307035,20:05:00,CALL. SERRANO / CALL. CONDE DE ARANDA,10,4,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,3,Ingreso superior a 24 horas,-3.68838034061,40.42182635128122,false,false
2024S000361,"January 6, 2024",https://wikidata.org/entity/Q69307037,0:45:00,CALL. ALCALA / CALL. JULIO CAMBA,200A,4,Salamanca,https://wikidata.org/entity/Q1773521,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,3,Ingreso superior a 24 horas,-3.66401665677,40.43040131066659,false,false
2024S000389,"January 6, 2024",https://wikidata.org/entity/Q69307037,13:08:00,CALL. ALEJANDRO MORAN / CALL. JUAN FRANCISCO,11,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.7330165144,40.386659902272285,false,false
2024S000469,"January 7, 2024",https://wikidata.org/entity/Q69307038,13:15:00,"CTRA. TELEFERICO, 1",1,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 10 a 14 años,male,https://wikidata.org/entity/Q6581097,5,Asistencia sanitaria ambulatoria con posterioridad,-3.7545142414,40.422197447354385,false,false
2024S000469,"January 7, 2024",https://wikidata.org/entity/Q69307038,13:15:00,"CTRA. TELEFERICO, 1",1,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 18 a 20 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.7545142414,40.422197447354385,false,false
2024S000511,"January 8, 2024",https://wikidata.org/entity/Q69307039,11:00:00,"CALL. ALCALA, 265",265,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión lateral,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 15 a 17 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.65736981309,40.431853715282585,false,false
2024S000682,"January 9, 2024",https://wikidata.org/entity/Q69307040,16:20:00,"CALL. AYALA, 1",1,4,Salamanca,https://wikidata.org/entity/Q1773521,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,female,https://wikidata.org/entity/Q6581072,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.68903229662,40.42795762009051,false,false
2024S000803,"January 10, 2024",https://wikidata.org/entity/Q69307041,8:15:00,"PASEO. PONTONES, 18",18,2,Arganzuela,https://wikidata.org/entity/Q2000929,Colisión fronto-lateral,Nublado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 15 a 17 años,female,https://wikidata.org/entity/Q6581072,2,Ingreso inferior o igual a 24 horas,-3.71742714737,40.40421725252764,false,false
2024S000909,"January 11, 2024",https://wikidata.org/entity/Q69307042,15:20:00,"CALL. ALBADALEJO, 42",42,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.6158830513,40.43582993515645,false,false
2024S000988,"January 12, 2024",https://wikidata.org/entity/Q69307043,16:40:00,"CALL. ANTONIO LOPEZ, 256A",256A,12,Usera,https://wikidata.org/entity/Q953368,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,Desconocido,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.69554731373,40.379458845492756,false,false
2024S001002,"January 12, 2024",https://wikidata.org/entity/Q69307043,17:12:00,"CALL. OLIVAR, 52",52,1,Centro,https://wikidata.org/entity/Q1763376,Atropello a persona,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 35 a 39 años,female,https://wikidata.org/entity/Q6581072,14,Sin asistencia sanitaria,-3.70141762089,40.40933352595862,false,false
2024S001024,"January 12, 2024",https://wikidata.org/entity/Q69307043,22:00:00,"CALL. MENDEZ ALVARO, 21",21,2,Arganzuela,https://wikidata.org/entity/Q2000929,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.68540312543,40.40025833935029,false,false
2024S001264,"January 13, 2024",https://wikidata.org/entity/Q69307044,8:25:00,"CALL. TOLEDO, 172",172,2,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,5,Asistencia sanitaria ambulatoria con posterioridad,-3.71390331747,40.40196878036871,true,false
2024S001308,"January 13, 2024",https://wikidata.org/entity/Q69307044,17:45:00,SENDA FLUVIAL DEL MANZANARES S/N,43,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.75322913691,40.46971018740291,false,false
2024S001419,"January 14, 2024",https://wikidata.org/entity/Q69307045,9:14:00,"AVDA. REAL DE PINTO, 1",1,17,Villaverde,https://wikidata.org/entity/Q919536,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,Más de 74 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70602361625,40.34931389878366,false,false
2024S001426,"January 14, 2024",https://wikidata.org/entity/Q69307045,10:50:00,CTRA. ESTACION DE HORTALEZA / AVDA. NICETO ALCALA ZAMORA,1,16,Hortaleza,https://wikidata.org/entity/Q1928529,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,-3.64976222352,40.48048224870549,false,false
2024S001434,"January 14, 2024",https://wikidata.org/entity/Q69307045,14:35:00,CALL. PEZ / CALL. SAN ROQUE,6,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 18 a 20 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70428204175,40.42294679590761,false,false
2024S001447,"January 14, 2024",https://wikidata.org/entity/Q69307045,18:30:00,CALL. CARAMUEL / CALL. VIA CARPETANA,70,10,Latina,https://wikidata.org/entity/Q794954,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 40 a 44 años,female,https://wikidata.org/entity/Q6581072,3,Ingreso superior a 24 horas,-3.72995653647,40.40223792035424,false,false
2024S001451,"January 14, 2024",https://wikidata.org/entity/Q69307045,19:30:00,CALL. VIRGEN DE LA ALEGRIA / PLAZA. JOSE BANUS,18,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.65566684821,40.43495348390894,false,false
2024S001473,"January 15, 2024",https://wikidata.org/entity/Q69307046,8:18:00,CALL. MORATINES / CALL. MARTIN DE VARGAS,8,2,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,-3.70232386537,40.40354420889013,false,false
2024S001478,"January 3, 2024",https://wikidata.org/entity/Q69307034,8:45:00,CALL. MIRASIERRA / CALL. CALESAS,7,12,Usera,https://wikidata.org/entity/Q953368,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 60 a 64 años,male,https://wikidata.org/entity/Q6581097,3,Ingreso superior a 24 horas,-3.7057498919,40.3896854119237,false,false
2024S001485,"January 14, 2024",https://wikidata.org/entity/Q69307045,14:05:00,CALL. TUDESCOS / CALL. MIGUEL MOYA,4,1,Centro,https://wikidata.org/entity/Q1763376,Caída,LLuvia intensa,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.70562969322,40.42105569042027,false,false
2024S001491,"January 15, 2024",https://wikidata.org/entity/Q69307046,11:45:00,CALL. CABEZA MESADA / CALL. PUERTO DE PORZUNA,38,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,1,Atención en urgencias sin posterior ingreso,-3.62476855055,40.37289884383423,false,false
2024S001495,"January 15, 2024",https://wikidata.org/entity/Q69307046,12:00:00,"PLAZA. INDEPENDENCIA, 5",5,4,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,-3.68848461923,40.42049239236051,false,false
2024S001567,"January 16, 2024",https://wikidata.org/entity/Q69307047,8:20:00,CALL. ANTONIO TOLEDANO / CALL. FUNDADORES,9,4,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,5,Asistencia sanitaria ambulatoria con posterioridad,-3.66690687606,40.4246188902961,false,false
2024S001576,"January 16, 2024",https://wikidata.org/entity/Q69307047,12:00:00,CALL. DATIL / CALL. CARABANCHEL BAJO,33,11,Carabanchel,https://wikidata.org/entity/Q1001991,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 30 a 34 años,female,https://wikidata.org/entity/Q6581072,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.74607525895,40.37533304810825,false,false
